"start_typeName","start_depthzone","start_alongshorezone","end_typeName","end_depthzone","end_alongshorezone","typeName","id","parentID","origID","time","horizPos1","horizPos2","vertPos","track","alive","age","ageInStage","number","size","weight","temperature","salinity"
"egg01","SpawningArea_300to600m",6,"benthic.juvenile","NurseryArea_000to050m",10,"benthic.juvenile",7843,7843,7843,"1997-09-13 05:00:00",-159.80796,55.06349,26.77631,"-159.80796:55.06349:-26.77631;","true",254.70833,0,600,42.01477,0,8.62677,32.01395
"egg01","SpawningArea_300to600m",6,"benthic.juvenile","NurseryArea_000to050m",10,"benthic.juvenile",7843,7843,7843,"1997-09-13 05:20:00",-159.80796,55.06349,26.77631,"-159.80796:55.06349:-26.77631;-159.80796:55.06349:-26.77631;","false",254.72222,0.01389,600,42.01477,0,8.62677,32.01395
"egg01","SpawningArea_300to600m",6,"benthic.juvenile","NurseryArea_000to050m",9,"benthic.juvenile",7868,7868,7868,"1997-09-14 06:20:00",-160.05617,55.31634,32.50277,"-160.05617:55.31634:-32.50277;","true",255.76389,0,600,42.00893,0,7.25583,32.13965
"egg01","SpawningArea_300to600m",6,"benthic.juvenile","NurseryArea_000to050m",9,"benthic.juvenile",7868,7868,7868,"1997-09-14 06:40:00",-160.05617,55.31634,32.50277,"-160.05617:55.31634:-32.50277;-160.05617:55.31634:-32.50277;","false",255.77778,0.01389,600,42.00893,0,7.25583,32.13965
"egg01","SpawningArea_300to600m",6,"benthic.juvenile","NurseryArea_050to150m",8,"benthic.juvenile",8001,8001,8001,"1997-09-14 00:20:00",-155.12485,56.16384,36.30368,"-155.12485:56.16384:-36.30368;","true",255.51389,0,600,42.01477,0,11.30554,32.37099
"egg01","SpawningArea_300to600m",6,"benthic.juvenile","NurseryArea_050to150m",8,"benthic.juvenile",8001,8001,8001,"1997-09-14 00:40:00",-155.12485,56.16384,36.30368,"-155.12485:56.16384:-36.30368;-155.12485:56.16384:-36.30368;","false",255.52778,0.01389,600,42.01477,0,11.30554,32.37099
"egg01","SpawningArea_300to600m",6,"benthic.juvenile","NurseryArea_050to150m",9,"benthic.juvenile",8056,8056,8056,"1997-09-13 02:40:00",-160.14425,55.3813,40.68155,"-160.14425:55.3813:-40.68155;","true",254.61111,0,600,42.01477,0,8.45519,31.94528
"egg01","SpawningArea_300to600m",6,"benthic.juvenile","NurseryArea_050to150m",9,"benthic.juvenile",8056,8056,8056,"1997-09-13 03:00:00",-160.14425,55.3813,40.68155,"-160.14425:55.3813:-40.68155;-160.14425:55.3813:-40.68155;","false",254.625,0.01389,600,42.01477,0,8.45519,31.94528
"egg01","SpawningArea_300to600m",6,"benthic.juvenile","NurseryArea_050to150m",9,"benthic.juvenile",8116,8116,8116,"1997-09-11 18:00:00",-152.33509,58.95208,47.36125,"-152.33509:58.95208:-47.36125;","true",253.25,0,600,42.16091,0,8.98642,32.09927
"egg01","SpawningArea_300to600m",6,"benthic.juvenile","NurseryArea_050to150m",9,"benthic.juvenile",8116,8116,8116,"1997-09-11 18:20:00",-152.33509,58.95208,47.36125,"-152.33509:58.95208:-47.36125;-152.33509:58.95208:-47.36125;","false",253.26389,0.01389,600,42.16091,0,8.98642,32.09927
